icd_code,icd_version,long_title
1601,9,"Tuberculosis of kidney, bacteriological or histological examination not done"
1602,9,"Tuberculosis of kidney, bacteriological or histological examination unknown (at present)"
1603,9,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy"
1604,9,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1605,9,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1606,9,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1610,9,"Tuberculosis of bladder, unspecified"
1611,9,"Tuberculosis of bladder, bacteriological or histological examination not done"
1612,9,"Tuberculosis of bladder, bacteriological or histological examination unknown (at present)"
1613,9,"Tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy"
1614,9,"Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1615,9,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1616,9,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1620,9,"Tuberculosis of ureter, unspecified"
1621,9,"Tuberculosis of ureter, bacteriological or histological examination not done"
1622,9,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present)"
1623,9,"Tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy"
329,9,"Diphtheria, unspecified"
30011,9,Conversion disorder
1624,9,"Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1625,9,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1626,9,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1630,9,"Tuberculosis of other urinary organs, unspecified"
1631,9,"Tuberculosis of other urinary organs, bacteriological or histological examination not done"
1632,9,"Tuberculosis of other urinary organs, bacteriological or histological examination unknown (at present)"
1633,9,"Tuberculosis of other urinary organs, tubercle bacilli found (in sputum) by microscopy"
1634,9,"Tuberculosis of other urinary organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1635,9,"Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1636,9,"Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1640,9,"Tuberculosis of epididymis, unspecified"
1641,9,"Tuberculosis of epididymis, bacteriological or histological examination not done"
1642,9,"Tuberculosis of epididymis, bacteriological or histological examination unknown (at present)"
1643,9,"Tuberculosis of epididymis, tubercle bacilli found (in sputum) by microscopy"
1644,9,"Tuberculosis of epididymis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1645,9,"Tuberculosis of epididymis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1646,9,"Tuberculosis of epididymis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1650,9,"Tuberculosis of other male genital organs, unspecified"
1651,9,"Tuberculosis of other male genital organs, bacteriological or histological examination not done"
1652,9,"Tuberculosis of other male genital organs, bacteriological or histological examination unknown (at present)"
1653,9,"Tuberculosis of other male genital organs, tubercle bacilli found (in sputum) by microscopy"
1654,9,"Tuberculosis of other male genital organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1655,9,"Tuberculosis of other male genital organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1656,9,"Tuberculosis of other male genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1660,9,"Tuberculous oophoritis and salpingitis, unspecified"
1661,9,"Tuberculous oophoritis and salpingitis, bacteriological or histological examination not done"
1662,9,"Tuberculous oophoritis and salpingitis, bacteriological or histological examination unknown (at present)"
1663,9,"Tuberculous oophoritis and salpingitis, tubercle bacilli found (in sputum) by microscopy"
1664,9,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1665,9,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
